,Date,TotalCash,TotalValue
1958,2007-10-17,99947.8125,99981.26250076294
1959,2007-10-18,99947.8125,99981.0325012207
1960,2007-10-19,99947.8125,99982.37250137329
1961,2007-10-22,99947.8125,99981.74250030518
1962,2007-10-23,99947.8125,99980.63249969482
1963,2007-10-24,99947.8125,99981.04249954224
1964,2007-10-25,99947.8125,99981.76250076294
1965,2007-10-26,99947.8125,99980.88249969482
1966,2007-10-29,99947.8125,99980.66249847412
1967,2007-10-30,99947.8125,99980.55250167847
1968,2007-10-31,99947.8125,99979.7825012207
1969,2007-11-01,99947.8125,99980.8125
1970,2007-11-02,99947.8125,99980.39250183105
1971,2007-11-05,99947.8125,99980.74250030518
1972,2007-11-06,99947.8125,99980.13249969482
1973,2007-11-07,99947.8125,99981.46250152588
1974,2007-11-08,99947.8125,99983.08250045776
1975,2007-11-09,99947.8125,99984.8125
1976,2007-11-12,99947.8125,99986.08250045776
1977,2007-11-13,99947.8125,99984.07249832153
1978,2007-11-14,99947.8125,99984.72249984741
1979,2007-11-15,99947.8125,99984.99250030518
1980,2007-11-16,99947.8125,99984.5325012207
1981,2007-11-19,99947.8125,99985.11249923706
1982,2007-11-20,99947.8125,99984.91249847412
1983,2007-11-21,99947.8125,99985.50249862671
1984,2007-11-23,99947.8125,99984.97249984741
1985,2007-11-26,99947.8125,99985.83250045776
1986,2007-11-27,99947.8125,99984.85250091553
1987,2007-11-28,99947.8125,99983.33250045776
1988,2007-11-29,99947.8125,99983.11249923706
1989,2007-11-30,99947.8125,99983.50249862671
1990,2007-12-03,99947.8125,99983.93249893188
1991,2007-12-04,99947.8125,99984.14250183105
1992,2007-12-05,99947.8125,99983.23249816895
1993,2007-12-06,99947.8125,99982.49250030518
1994,2007-12-07,99947.8125,99982.48249816895
1995,2007-12-10,99947.8125,99982.27249908447
1996,2007-12-11,99947.8125,99983.49250030518
1997,2007-12-12,99947.8125,99983.0325012207
1998,2007-12-13,99947.8125,99983.3125
1999,2007-12-14,99947.8125,99983.8424987793
2000,2007-12-17,99947.8125,99985.08250045776
2001,2007-12-18,99947.8125,99984.92250061035
2002,2007-12-19,99947.8125,99984.93249893188
2003,2007-12-20,99947.8125,99983.91249847412
2004,2007-12-21,99947.8125,99982.96250152588
2005,2007-12-24,99947.8125,99982.57249832153
2006,2007-12-26,99947.8125,99982.3125
2007,2007-12-27,99947.8125,99982.94250106812
2008,2007-12-28,99947.8125,99982.99250030518
2009,2007-12-31,99947.8125,99983.5924987793
