,Date,TotalCash,TotalValue
5184,2020-08-11,99861.5625,100171.60253799999
5185,2020-08-12,99861.5625,100166.962524
5186,2020-08-13,99861.5625,100167.572539
5187,2020-08-14,99861.5625,100167.56253
5188,2020-08-17,99861.5625,100166.492522
5189,2020-08-18,99861.5625,100165.762511
5190,2020-08-19,99861.5625,100167.172515
5191,2020-08-20,99861.5625,100166.122527
5192,2020-08-21,99861.5625,100164.922515
5193,2020-08-24,99861.5625,100161.482513
5194,2020-08-25,99861.5625,100160.28253099999
5195,2020-08-26,99861.5625,100156.83251899999
5196,2020-08-27,99861.5625,100156.072539
5197,2020-08-28,99861.5625,100153.822539
5198,2020-08-31,99861.5625,100155.092528
5199,2020-09-01,99861.5625,100151.80252
5200,2020-09-02,99861.5625,100146.70251399999
5201,2020-09-03,99861.5625,100159.012511
5202,2020-09-04,99861.5625,100161.83251899999
5203,2020-09-08,99861.5625,100171.192535
5204,2020-09-09,99861.5625,100164.612517
5205,2020-09-10,99861.5625,100170.512511
5206,2020-09-11,99861.5625,100170.342528
5207,2020-09-14,99861.5625,100165.942535
5208,2020-09-15,99861.5625,100164.232513
5209,2020-09-16,99861.5625,100165.58251899999
5210,2020-09-17,99861.5625,100168.56253
5211,2020-09-18,99861.5625,100173.752532
5212,2020-09-21,99861.5625,100177.432525
5213,2020-09-22,99861.5625,100174.10253799999
5214,2020-09-23,99861.5625,100181.762511
5215,2020-09-24,99861.5625,100180.90252599999
5216,2020-09-25,99861.5625,100175.672515
5217,2020-09-28,99861.5625,100170.212524
5218,2020-09-29,99861.5625,100172.03253099999
5219,2020-09-30,99861.5625,100169.512511
5220,2020-10-01,99861.5625,100167.362517
5221,2020-10-02,99861.5625,100170.56253
5222,2020-10-05,99861.5625,100164.64251599999
5223,2020-10-06,99861.5625,100169.472533
5224,2020-10-07,99861.5625,100163.64251599999
5225,2020-10-08,99861.5625,100160.622527
5226,2020-10-09,99861.5625,100157.55252
5227,2020-10-12,99861.5625,100151.972533
5228,2020-10-13,99861.5625,100154.27252099999
5229,2020-10-14,99861.5625,100156.472533
5230,2020-10-15,99861.5625,100156.90252599999
5231,2020-10-16,99861.5625,100157.112517
5232,2020-10-19,99861.5625,100162.39251599999
5233,2020-10-20,99861.5625,100161.02252099999
